13/12/2017 12:48:27 | SUCCESS | Slider priority Set | By-varun_ott025 | 
13/12/2017 12:48:36 | SUCCESS | Slider priority Set | By-varun_ott025 | 
13/12/2017 12:49:57 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:50:20 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:50:45 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:51:10 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:51:30 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:51:38 | SUCCESS | Slider image inactive(SliderID:182,Status:inactive) | By-varun_ott025 | 
13/12/2017 12:51:43 | SUCCESS | Delete slider Image (182) | By-varun_ott025 | delete from slider_image_detail where img_id='182'
13/12/2017 12:51:46 | SUCCESS | Delete slider Image (199) | By-varun_ott025 | delete from slider_image_detail where img_id='199'
13/12/2017 12:52:15 | SUCCESS | Delete slider Image (195) | By-varun_ott025 | delete from slider_image_detail where img_id='195'
13/12/2017 12:54:03 | SUCCESS | Slider priority Set | By-varun_ott025 | 
13/12/2017 12:56:33 | SUCCESS | Delete slider Image (197) | By-varun_ott025 | delete from slider_image_detail where img_id='197'
13/12/2017 13:02:31 | SUCCESS | Slider priority Set | By-varun_ott025 | 
13/12/2017 13:04:11 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 13:04:21 | SUCCESS | Slider priority Set | By-varun_ott025 | 
13/12/2017 13:04:34 | SUCCESS | Slider priority Set | By-varun_ott025 | 
13/12/2017 13:04:51 | SUCCESS | Slider priority Set | By-varun_ott025 | 
13/12/2017 13:05:06 | SUCCESS | Slider image active(SliderID:200,Status:active) | By-varun_ott025 | 
13/12/2017 13:05:09 | SUCCESS | Slider image inactive(SliderID:200,Status:inactive) | By-varun_ott025 | 
13/12/2017 13:05:11 | SUCCESS | Delete slider Image (200) | By-varun_ott025 | delete from slider_image_detail where img_id='200'
13/12/2017 13:05:35 | SUCCESS | Delete slider Image (198) | By-varun_ott025 | delete from slider_image_detail where img_id='198'
13/12/2017 13:05:56 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 13:06:06 | SUCCESS | Slider priority Set | By-varun_ott025 | 
13/12/2017 13:06:20 | SUCCESS | Delete slider Image (184) | By-varun_ott025 | delete from slider_image_detail where img_id='184'
13/12/2017 13:06:46 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 13:07:06 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 13:07:16 | SUCCESS | Slider image active(SliderID:193,Status:active) | By-varun_ott025 | 
13/12/2017 13:07:24 | SUCCESS | Slider image inactive(SliderID:193,Status:inactive) | By-varun_ott025 | 
13/12/2017 13:07:27 | SUCCESS | Delete slider Image (193) | By-varun_ott025 | delete from slider_image_detail where img_id='193'
13/12/2017 13:07:41 | SUCCESS | Delete slider Image (196) | By-varun_ott025 | delete from slider_image_detail where img_id='196'
13/12/2017 13:07:44 | SUCCESS | Delete slider Image (201) | By-varun_ott025 | delete from slider_image_detail where img_id='201'
