14/11/2017 16:49:20 | SUCCESS | Plan inactive(planID:p988,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:49:22 | SUCCESS | Plan inactive(planID:p963,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:49:24 | SUCCESS | Plan inactive(planID:p844,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:49:26 | SUCCESS | Plan inactive(planID:p836,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:49:29 | SUCCESS | Plan inactive(planID:p602,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:49:31 | SUCCESS | Plan inactive(planID:p547,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:49:33 | SUCCESS | Plan inactive(planID:p441,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:49:35 | SUCCESS | Plan inactive(planID:p399,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:49:37 | SUCCESS | Plan inactive(planID:p349,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:49:39 | SUCCESS | Delete Plan (p349) | By-Test_ott025 | delete from plandetail where planID='p349'
14/11/2017 16:49:41 | SUCCESS | Delete Plan (p399) | By-Test_ott025 | delete from plandetail where planID='p399'
14/11/2017 16:49:43 | SUCCESS | Delete Plan (p441) | By-Test_ott025 | delete from plandetail where planID='p441'
14/11/2017 16:49:45 | SUCCESS | Delete Plan (p528) | By-Test_ott025 | delete from plandetail where planID='p528'
14/11/2017 16:49:46 | SUCCESS | Delete Plan (p547) | By-Test_ott025 | delete from plandetail where planID='p547'
14/11/2017 16:49:48 | SUCCESS | Delete Plan (p602) | By-Test_ott025 | delete from plandetail where planID='p602'
14/11/2017 16:49:51 | SUCCESS | Delete Plan (p836) | By-Test_ott025 | delete from plandetail where planID='p836'
14/11/2017 16:49:53 | SUCCESS | Delete Plan (p844) | By-Test_ott025 | delete from plandetail where planID='p844'
14/11/2017 16:49:56 | SUCCESS | Delete Plan (p963) | By-Test_ott025 | delete from plandetail where planID='p963'
14/11/2017 16:49:58 | SUCCESS | Delete Plan (p988) | By-Test_ott025 | delete from plandetail where planID='p988'
14/11/2017 16:50:08 | SUCCESS | Plan inactive(planID:p077,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:50:10 | SUCCESS | Plan inactive(planID:p131,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:50:15 | SUCCESS | Plan inactive(planID:p234,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:50:17 | SUCCESS | Plan inactive(planID:p256,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:50:19 | SUCCESS | Plan inactive(planID:p266,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:50:21 | SUCCESS | Plan inactive(planID:p280,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:50:23 | SUCCESS | Plan inactive(planID:p298,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:50:25 | SUCCESS | Plan inactive(planID:p332,Status:inactive) | By-Test_ott025 | 
14/11/2017 16:50:27 | SUCCESS | Delete Plan (p332) | By-Test_ott025 | delete from plandetail where planID='p332'
14/11/2017 16:50:29 | SUCCESS | Delete Plan (p298) | By-Test_ott025 | delete from plandetail where planID='p298'
14/11/2017 16:50:31 | SUCCESS | Delete Plan (p280) | By-Test_ott025 | delete from plandetail where planID='p280'
14/11/2017 16:50:33 | SUCCESS | Delete Plan (p266) | By-Test_ott025 | delete from plandetail where planID='p266'
14/11/2017 16:50:35 | SUCCESS | Delete Plan (p256) | By-Test_ott025 | delete from plandetail where planID='p256'
14/11/2017 16:50:37 | SUCCESS | Delete Plan (p234) | By-Test_ott025 | delete from plandetail where planID='p234'
14/11/2017 16:50:39 | SUCCESS | Delete Plan (p131) | By-Test_ott025 | delete from plandetail where planID='p131'
14/11/2017 16:50:42 | SUCCESS | Delete Plan (p077) | By-Test_ott025 | delete from plandetail where planID='p077'
14/11/2017 16:53:39 | SUCCESS | Save New video(0_jj4fi9go) | By-Test_ott025 | 
14/11/2017 16:54:39 | SUCCESS | Save New video(0_5tt5n1nx) | By-Test_ott025 | 
14/11/2017 16:55:43 | SUCCESS | Save New video(0_t6iz4l0j) | By-Test_ott025 | 
14/11/2017 16:57:19 | SUCCESS | Save New video(0_8mfjmmkv) | By-Test_ott025 | 
14/11/2017 17:05:39 | SUCCESS | Save New video(0_k76ra66p) | By-Test_ott025 | 
14/11/2017 17:07:44 | SUCCESS | Save New video(0_46jdssoq) | By-Test_ott025 | 
14/11/2017 17:17:17 | SUCCESS | Add New Plan (free) | By-varun_ott025 | 
14/11/2017 17:17:41 | SUCCESS | Add New Plan (silver) | By-varun_ott025 | 
14/11/2017 17:21:56 | SUCCESS | Add New HomeSettingTag(movies) | By-varun_ott025 | 
14/11/2017 17:37:28 | SUCCESS | Save New video(0_mobc8bmk) | By-Test_ott025 | 
14/11/2017 17:40:33 | SUCCESS | Delete slider Image (180) | By-Test_ott025 | delete from slider_image_detail where img_id='180'
14/11/2017 17:40:36 | SUCCESS | Delete slider Image (170) | By-Test_ott025 | delete from slider_image_detail where img_id='170'
14/11/2017 17:40:37 | SUCCESS | Delete slider Image (164) | By-Test_ott025 | delete from slider_image_detail where img_id='164'
14/11/2017 17:40:39 | SUCCESS | Delete slider Image (172) | By-Test_ott025 | delete from slider_image_detail where img_id='172'
14/11/2017 17:41:09 | SUCCESS | Add New Slider Image(C:\fakepath\banner1.jpg) | By-Test_ott025 | 
14/11/2017 17:41:32 | SUCCESS | Add New Slider Image(C:\fakepath\banner12.jpg) | By-Test_ott025 | 
14/11/2017 17:41:59 | SUCCESS | Add New Slider Image(C:\fakepath\banner67.jpg) | By-Test_ott025 | 
14/11/2017 17:42:25 | SUCCESS | Add New Slider Image(C:\fakepath\banner9.jpg) | By-Test_ott025 | 
14/11/2017 17:42:28 | SUCCESS | Slider image active(SliderID:181,Status:active) | By-Test_ott025 | 
14/11/2017 17:42:30 | SUCCESS | Slider image active(SliderID:182,Status:active) | By-Test_ott025 | 
14/11/2017 17:42:32 | SUCCESS | Slider image active(SliderID:183,Status:active) | By-Test_ott025 | 
14/11/2017 17:42:34 | SUCCESS | Slider image active(SliderID:184,Status:active) | By-Test_ott025 | 
14/11/2017 17:42:39 | SUCCESS | Home Setting inactive(HomeID:12,Status:inactive) | By-Test_ott025 | 
14/11/2017 17:42:41 | SUCCESS | Home Setting inactive(HomeID:6,Status:inactive) | By-Test_ott025 | 
14/11/2017 17:42:43 | SUCCESS | Home Setting inactive(HomeID:8,Status:inactive) | By-Test_ott025 | 
14/11/2017 17:42:45 | SUCCESS | Home Setting inactive(HomeID:9,Status:inactive) | By-Test_ott025 | 
14/11/2017 17:42:47 | SUCCESS | Home Setting inactive(HomeID:13,Status:inactive) | By-Test_ott025 | 
14/11/2017 17:42:49 | SUCCESS | Home Setting inactive(HomeID:16,Status:inactive) | By-Test_ott025 | 
14/11/2017 17:42:52 | SUCCESS | Delete HomeSettingTag (12) | By-Test_ott025 | delete from home_title_tag where tags_id='12'
14/11/2017 17:42:54 | SUCCESS | Delete HomeSettingTag (6) | By-Test_ott025 | delete from home_title_tag where tags_id='6'
14/11/2017 17:42:56 | SUCCESS | Delete HomeSettingTag (8) | By-Test_ott025 | delete from home_title_tag where tags_id='8'
14/11/2017 17:42:58 | SUCCESS | Delete HomeSettingTag (7) | By-Test_ott025 | delete from home_title_tag where tags_id='7'
14/11/2017 17:43:00 | SUCCESS | Delete HomeSettingTag (9) | By-Test_ott025 | delete from home_title_tag where tags_id='9'
14/11/2017 17:43:02 | SUCCESS | Delete HomeSettingTag (14) | By-Test_ott025 | delete from home_title_tag where tags_id='14'
14/11/2017 17:43:04 | SUCCESS | Delete HomeSettingTag (13) | By-Test_ott025 | delete from home_title_tag where tags_id='13'
14/11/2017 17:43:05 | SUCCESS | Delete HomeSettingTag (16) | By-Test_ott025 | delete from home_title_tag where tags_id='16'
